quote,author,tags,quote_clean,meta
"“Maybe you can afford to wait. Maybe for you there's a tomorrow. Maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through you fingers. So much time you can waste it.But for some of us there's only today. And the truth is, you never really know.”","Lauren Oliver,",['inspirational-life'],"“maybe you can afford to wait. maybe for you there's a tomorrow. maybe for you there's one thousand tomorrows, or three thousand, or ten, so much time you can bathe in it, roll around it, let it slide like coins through you fingers. so much time you can waste it.but for some of us there's only today. and the truth is, you never really know.”","Author: Lauren Oliver,, Tags: inspirational-life"
"“Don't stop there. I suppose there are also, what, vampires and werewolves and zombies?""""Of course there are. Although you mostly find zombies farther south, where the voudun priests are.""""What about mummies? Do they only hang around Egypt?""""Don't be ridiculous. No one believes in mummies.”","Cassandra Clare,","['clary-fray', 'jace-wayland', 'joke', 'mummies', 'sarcasm', 'vampire', 'werewolf', 'zombies']","“don't stop there. i suppose there are also, what, vampires and werewolves and zombies?""""of course there are. although you mostly find zombies farther south, where the voudun priests are.""""what about mummies? do they only hang around egypt?""""don't be ridiculous. no one believes in mummies.”","Author: Cassandra Clare,, Tags: clary-fray, jace-wayland, joke, mummies, sarcasm, vampire, werewolf, zombies"
“Even death has a heart.”,"Markus Zusak,","['death', 'life']",“even death has a heart.”,"Author: Markus Zusak,, Tags: death, life"
"“One ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”","Johann Wolfgang von Goethe,","['art', 'good-life', 'music', 'poetry', 'self-improvement']","“one ought, every day at least, to hear a little song, read a good poem, see a fine picture, and, if it were possible, to speak a few reasonable words.”","Author: Johann Wolfgang von Goethe,, Tags: art, good-life, music, poetry, self-improvement"
“You speak an infinite deal of nothing.”,"William Shakespeare,","['insults', 'shakespeare']",“you speak an infinite deal of nothing.”,"Author: William Shakespeare,, Tags: insults, shakespeare"
"“It doesn't interest me what you do for a living. I want to know what you ache for, and if you dare to dream of meeting your heart's longing.It doesn't interest me how old you are. I want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. It doesn't interest me what planets are squaring your moon. I want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!I want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. I want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. It doesn't interest me if the story you are telling me is true. I want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. I want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. I want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, â€œYes!â€�It doesn't interest me to know where you live or how much money you have. I want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. It doesn't interest me who you know or how you came to be here. I want to know if you will stand in the center of the fire with me and not shrink back. It doesn't interest me where or what or with whom you have studied. I want to know what sustains you, from the inside, when all else falls away. I want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.”",Oriah Mountain Dreamer,['inspirational'],"“it doesn't interest me what you do for a living. i want to know what you ache for, and if you dare to dream of meeting your heart's longing.it doesn't interest me how old you are. i want to know if you will risk looking like a fool for love, for your dream, for the adventure of being alive. it doesn't interest me what planets are squaring your moon. i want to know if you have touched the center of your own sorrow, if you have been opened by life's betrayals or have become shriveled and closed from fear of further pain!i want to know if you can sit with pain, mine or your own, without moving to hide it or fade it, or fix it. i want to know if you can be with joy, mine or your own, if you can dance with wildness and let the ecstasy fill you to the tips of your fingers and toes without cautioning us to be careful, to be realistic, to remember the limitations of being human. it doesn't interest me if the story you are telling me is true. i want to know if you can disappoint another to be true to yourself; if you can bear the accusation of betrayal and not betray your own soul; if you can be faithlessand therefore trustworthy. i want to know if you can see beauty even when it's not pretty, every day,and if you can source your own life from its presence. i want to know if you can live with failure, yours and mine, and still stand on the edge of the lake and shout to the silver of the full moon, â€œyes!â€�it doesn't interest me to know where you live or how much money you have. i want to know if you can get up, after the night of grief and despair, weary and bruised to the bone, and do what needs to be done to feed the children. it doesn't interest me who you know or how you came to be here. i want to know if you will stand in the center of the fire with me and not shrink back. it doesn't interest me where or what or with whom you have studied. i want to know what sustains you, from the inside, when all else falls away. i want to know if you can be alone with yourself and if you truly like the company you keep in the empty moments.”","Author: Oriah Mountain Dreamer, Tags: inspirational"
“All you have to do is write one true sentence. Write the truest sentence that you know.”,Ernest Hemingway,"['truth', 'writing', 'writing-advice']",“all you have to do is write one true sentence. write the truest sentence that you know.”,"Author: Ernest Hemingway, Tags: truth, writing, writing-advice"
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. And then there are books like An Imperial Affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal”","John Green,","['books', 'john-green', 'reading', 'the-fault-in-our-stars']","“sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book. and then there are books like an imperial affliction, which you can't tell people about, books so special and rare and yours that advertising your affection feels like betrayal”","Author: John Green,, Tags: books, john-green, reading, the-fault-in-our-stars"
"“A cynic is a man who knows the price of everything, and the value of nothing.”",Oscar Wilde,['cynicism'],"“a cynic is a man who knows the price of everything, and the value of nothing.”","Author: Oscar Wilde, Tags: cynicism"
"“He does something to me, that boy. Every time. Itâ€™s his only detriment. He steps on my heart. He makes me cry.”","Markus Zusak,","['heartbreak', 'love', 'sad']","“he does something to me, that boy. every time. itâ€™s his only detriment. he steps on my heart. he makes me cry.”","Author: Markus Zusak,, Tags: heartbreak, love, sad"
“Gravitation is not responsible for people falling in love.”,Albert Einstein,['love'],“gravitation is not responsible for people falling in love.”,"Author: Albert Einstein, Tags: love"
"“You know, when it works, love is pretty amazing. It's not overrated. There's a reason for all those songs.”","Sarah Dessen,",['love'],"“you know, when it works, love is pretty amazing. it's not overrated. there's a reason for all those songs.”","Author: Sarah Dessen,, Tags: love"
"“To me, Fearless is not the absense of fear. It's not being completely unafraid. To me, Fearless is having fears. Fearless is having doubts. Lots of them. To me, Fearless is living in spite of those things that scare you to death.”",Taylor Swift,"['fearless', 'inspirational', 'love']","“to me, fearless is not the absense of fear. it's not being completely unafraid. to me, fearless is having fears. fearless is having doubts. lots of them. to me, fearless is living in spite of those things that scare you to death.”","Author: Taylor Swift, Tags: fearless, inspirational, love"
