quote,author,tags,quote_clean,meta
"“Without pain, how could we know joy?' This is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate.”","John Green,","['broccoli', 'chocolate', 'joy', 'pleasures', 'suffering']","“without pain, how could we know joy?' this is an old argument in the field of thinking about suffering and its stupidity and lack of sophistication could be plumbed for centuries but suffice it to say that the existence of broccoli does not, in any way, affect the taste of chocolate.”","Author: John Green,, Tags: broccoli, chocolate, joy, pleasures, suffering"
"“Don't ever tell anybody anything. If you do, you start missing everybody.”",J. D. Salinger,"['salinger', 'stories']","“don't ever tell anybody anything. if you do, you start missing everybody.”","Author: J. D. Salinger, Tags: salinger, stories"
"“Once on a yellow piece of paper with green lines	he wrote a poemAnd he called it ""Chops""	because that was the name of his dogAnd that's what it was all aboutAnd his teacher gave him an A	and a gold starAnd his mother hung it on the kitchen door	and read it to his auntsThat was the year Father Tracy	took all the kids to the zooAnd he let them sing on the busAnd his little sister was born	with tiny toenails and no hairAnd his mother and father kissed a lotAnd the girl around the corner sent him aValentine signed with a row of X's	and he had to ask his father what the X's meantAnd his father always tucked him in bed at nightAnd was always there to do itOnce on a piece of white paper with blue lines	he wrote a poemAnd he called it ""Autumn""	because that was the name of the seasonAnd that's what it was all aboutAnd his teacher gave him an A	and asked him to write more clearlyAnd his mother never hung it on the kitchen door	because of its new paintAnd the kids told him	that Father Tracy smoked cigarsAnd left butts on the pewsAnd sometimes they would burn holesThat was the year his sister got glasses	with thick lenses and black framesAnd the girl around the corner laughed	when he asked her to go see Santa ClausAnd the kids told him why	his mother and father kissed a lotAnd his father never tucked him in bed at nightAnd his father got mad	when he cried for him to do it.Once on a paper torn from his notebook	he wrote a poemAnd he called it ""Innocence: A Question""	because that was the question about his girlAnd that's what it was all aboutAnd his professor gave him an A	and a strange steady lookAnd his mother never hung it on the kitchen door	because he never showed herThat was the year that Father Tracy diedAnd he forgot how the end	of the Apostle's Creed wentAnd he caught his sister	making out on the back porchAnd his mother and father never kissed	or even talkedAnd the girl around the corner	wore too much makeupThat made him cough when he kissed her	but he kissed her anyway	because that was the thing to doAnd at three a.m. he tucked himself into bed	his father snoring soundlyThat's why on the back of a brown paper bag	he tried another poemAnd he called it ""Absolutely Nothing""Because that's what it was really all aboutAnd he gave himself an A	and a slash on each damned wristAnd he hung it on the bathroom door	because this time he didn't think	he could reach the kitchen.”","Stephen Chbosky,",['poem'],"“once on a yellow piece of paper with green lines	he wrote a poemand he called it ""chops""	because that was the name of his dogand that's what it was all aboutand his teacher gave him an a	and a gold starand his mother hung it on the kitchen door	and read it to his auntsthat was the year father tracy	took all the kids to the zooand he let them sing on the busand his little sister was born	with tiny toenails and no hairand his mother and father kissed a lotand the girl around the corner sent him avalentine signed with a row of x's	and he had to ask his father what the x's meantand his father always tucked him in bed at nightand was always there to do itonce on a piece of white paper with blue lines	he wrote a poemand he called it ""autumn""	because that was the name of the seasonand that's what it was all aboutand his teacher gave him an a	and asked him to write more clearlyand his mother never hung it on the kitchen door	because of its new paintand the kids told him	that father tracy smoked cigarsand left butts on the pewsand sometimes they would burn holesthat was the year his sister got glasses	with thick lenses and black framesand the girl around the corner laughed	when he asked her to go see santa clausand the kids told him why	his mother and father kissed a lotand his father never tucked him in bed at nightand his father got mad	when he cried for him to do it.once on a paper torn from his notebook	he wrote a poemand he called it ""innocence: a question""	because that was the question about his girland that's what it was all aboutand his professor gave him an a	and a strange steady lookand his mother never hung it on the kitchen door	because he never showed herthat was the year that father tracy diedand he forgot how the end	of the apostle's creed wentand he caught his sister	making out on the back porchand his mother and father never kissed	or even talkedand the girl around the corner	wore too much makeupthat made him cough when he kissed her	but he kissed her anyway	because that was the thing to doand at three a.m. he tucked himself into bed	his father snoring soundlythat's why on the back of a brown paper bag	he tried another poemand he called it ""absolutely nothing""because that's what it was really all aboutand he gave himself an a	and a slash on each damned wristand he hung it on the bathroom door	because this time he didn't think	he could reach the kitchen.”","Author: Stephen Chbosky,, Tags: poem"
"“Respect other people's feelings. It might mean nothing to you, but it could mean everything to them.”",Roy T. Bennett,"['feelings', 'inspiration', 'inspirational-quotes']","“respect other people's feelings. it might mean nothing to you, but it could mean everything to them.”","Author: Roy T. Bennett, Tags: feelings, inspiration, inspirational-quotes"
"“Remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks?"" ""They ate it too,"" Will reminisced. ""Bloodthirsty little beasts. Never trust a duck.”","Cassandra Clare,","['jem-carstairs', 'will-herondale']","“remember when you tried to convince me to feed a poultry pie to the mallards in the park to see if you could breed a race of cannibal ducks?"" ""they ate it too,"" will reminisced. ""bloodthirsty little beasts. never trust a duck.”","Author: Cassandra Clare,, Tags: jem-carstairs, will-herondale"
"“We are all different. Donâ€™t judge, understand instead.”","Roy T. Bennett,","['authentic-living', 'authentic-self', 'authenticity', 'compassion']","“we are all different. donâ€™t judge, understand instead.”","Author: Roy T. Bennett,, Tags: authentic-living, authentic-self, authenticity, compassion"
“Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”,Arthur C. Clarke,"['distance', 'life', 'loneliness', 'qotd', 'sense-of-wonder', 'universe']",“two possibilities exist: either we are alone in the universe or we are not. both are equally terrifying.”,"Author: Arthur C. Clarke, Tags: distance, life, loneliness, qotd, sense-of-wonder, universe"
"“When you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”","Arthur Conan Doyle,",['inspirational'],"“when you have eliminated all which is impossible, then whatever remains, however improbable, must be the truth.”","Author: Arthur Conan Doyle,, Tags: inspirational"
"“Men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.”",Winston S. Churchill,['truth'],"“men occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened.”","Author: Winston S. Churchill, Tags: truth"
"“You gain strength, courage and confidence by every experience in which you really stop to look fear in the face. You are able to say to yourself, 'I have lived through this horror. I can take the next thing that comes along.' You must do the thing you think you cannot do.”","Eleanor Roosevelt,",['confidence'],"“you gain strength, courage and confidence by every experience in which you really stop to look fear in the face. you are able to say to yourself, 'i have lived through this horror. i can take the next thing that comes along.' you must do the thing you think you cannot do.”","Author: Eleanor Roosevelt,, Tags: confidence"
"“The important thing is not to stop questioning. Curiosity has its own reason for existence. One cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. It is enough if one tries merely to comprehend a little of this mystery each day.â€”""Old Man's Advice to Youth: 'Never Lose a Holy Curiosity.'"" LIFE Magazine (2 May 1955) p. 64”",Albert Einstein,"['1955', 'curiosity', 'mystery', 'physics', 'science']","“the important thing is not to stop questioning. curiosity has its own reason for existence. one cannot help but be in awe when he contemplates the mysteries of eternity, of life, of the marvelous structure of reality. it is enough if one tries merely to comprehend a little of this mystery each day.â€”""old man's advice to youth: 'never lose a holy curiosity.'"" life magazine (2 may 1955) p. 64”","Author: Albert Einstein, Tags: 1955, curiosity, mystery, physics, science"
"“Many people, myself among them, feel better at the mere sight of a book.”","Jane Smiley,","['books', 'reading']","“many people, myself among them, feel better at the mere sight of a book.”","Author: Jane Smiley,, Tags: books, reading"
“Deserves it! I daresay he does. Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgement. For even the very wise cannot see all ends.”,"J.R.R. Tolkien,","['compassion', 'justice', 'mercy']",“deserves it! i daresay he does. many that live deserve death. and some that die deserve life. can you give it to them? then do not be too eager to deal out death in judgement. for even the very wise cannot see all ends.”,"Author: J.R.R. Tolkien,, Tags: compassion, justice, mercy"
"“I don't know the question, but sex is definitely the answer.”",Woody Allen,"['humor', 'life', 'sex']","“i don't know the question, but sex is definitely the answer.”","Author: Woody Allen, Tags: humor, life, sex"
“You cannot protect yourself from sadness without protecting yourself from happiness.”,Jonathan Safran Foer,"['happiness', 'sadness']",“you cannot protect yourself from sadness without protecting yourself from happiness.”,"Author: Jonathan Safran Foer, Tags: happiness, sadness"
“Be mindful. Be grateful. Be positive. Be true. Be kind.”,"Roy T. Bennett,","['gratitude', 'inspiration', 'inspirational', 'inspirational-quotes', 'kindness', 'life', 'life-and-living', 'life-quotes', 'living-life', 'mindful', 'mindfulness', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'truth']",“be mindful. be grateful. be positive. be true. be kind.”,"Author: Roy T. Bennett,, Tags: gratitude, inspiration, inspirational, inspirational-quotes, kindness, life, life-and-living, life-quotes, living-life, mindful, mindfulness, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking, truth"
"“Fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”",Dr. Seuss,"['fantasy', 'humor']","“fantasy is a necessary ingredient in living, it's a way of looking at life through the wrong end of a telescope.”","Author: Dr. Seuss, Tags: fantasy, humor"
"“Above all, be the heroine of your life, not the victim.”",Nora Ephron,"['courage', 'empowerment', 'self-determination', 'women']","“above all, be the heroine of your life, not the victim.”","Author: Nora Ephron, Tags: courage, empowerment, self-determination, women"
“There comes a time when the world gets quiet and the only thing left is your own heart. So you'd better learn the sound of it. Otherwise you'll never understand what it's saying.”,"Sarah Dessen,","['just-litsen', 'sarah-dessen', 'time']",“there comes a time when the world gets quiet and the only thing left is your own heart. so you'd better learn the sound of it. otherwise you'll never understand what it's saying.”,"Author: Sarah Dessen,, Tags: just-litsen, sarah-dessen, time"
"“All animals are equal, but some animals are more equal than others.”","George Orwell,",['animal-farm'],"“all animals are equal, but some animals are more equal than others.”","Author: George Orwell,, Tags: animal-farm"
“Why fit in when you were born to stand out?”,Dr. Seuss,['seuss'],“why fit in when you were born to stand out?”,"Author: Dr. Seuss, Tags: seuss"
"“Kiss me, and you will see how important I am.”","Sylvia Plath,","['importance', 'kiss', 'kissing']","“kiss me, and you will see how important i am.”","Author: Sylvia Plath,, Tags: importance, kiss, kissing"
“War is peace. Freedom is slavery. Ignorance is strength.”,"George Orwell,","['freedom', 'ignorance', 'inspirational', 'war']",“war is peace. freedom is slavery. ignorance is strength.”,"Author: George Orwell,, Tags: freedom, ignorance, inspirational, war"
"“Religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. And the invisible man has a special list of ten things he does not want you to do. And if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! But He loves you. He loves you, and He needs money! He always needs money! He's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money!”",George Carlin,"['atheism', 'humor', 'life', 'religion']","“religion has actually convinced people that there's an invisible man living in the sky who watches everything you do, every minute of every day. and the invisible man has a special list of ten things he does not want you to do. and if you do any of these ten things, he has a special place, full of fire and smoke and burning and torture and anguish, where he will send you to live and suffer and burn and choke and scream and cry forever and ever 'til the end of time! but he loves you. he loves you, and he needs money! he always needs money! he's all-powerful, all-perfect, all-knowing, and all-wise, somehow just can't handle money!”","Author: George Carlin, Tags: atheism, humor, life, religion"
"“You're still trying to protect me. Real or not real,"" he whispers.""Real,"" I answer. ""Because that's what you and I do, protect each other.”","Suzanne Collins,","['hunger-games', 'katniss', 'peeta']","“you're still trying to protect me. real or not real,"" he whispers.""real,"" i answer. ""because that's what you and i do, protect each other.”","Author: Suzanne Collins,, Tags: hunger-games, katniss, peeta"
“There are worse crimes than burning books. One of them is not reading them.”,Joseph Brodsky,"['books', 'censorship', 'illiteracy', 'reading']",“there are worse crimes than burning books. one of them is not reading them.”,"Author: Joseph Brodsky, Tags: books, censorship, illiteracy, reading"
“That's the thing about books. They let you travel without moving your feet.”,"Jhumpa Lahiri,",['books'],“that's the thing about books. they let you travel without moving your feet.”,"Author: Jhumpa Lahiri,, Tags: books"
"“Accept yourself, love yourself, and keep moving forward. If you want to fly, you have to give up what weighs you down.”","Roy T. Bennett,","['accept-yourself', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'keep-moving-forward', 'letting-go', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'love-yourself', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking']","“accept yourself, love yourself, and keep moving forward. if you want to fly, you have to give up what weighs you down.”","Author: Roy T. Bennett,, Tags: accept-yourself, inspiration, inspirational, inspirational-attitude, inspirational-life, inspirational-quotes, inspire, inspiring, keep-moving-forward, letting-go, life, life-and-living, life-lessons, life-quotes, living, love-yourself, optimism, optimistic, positive, positive-affirmation, positive-life, positive-thinking"
“Whatever it is you're seeking won't come in the form you're expecting.”,Haruki Marukami,['expectation'],“whatever it is you're seeking won't come in the form you're expecting.”,"Author: Haruki Marukami, Tags: expectation"
“What matters in life is not what happens to you but what you remember and how you remember it.”,Gabriel Garcia Marquez,['life-memories'],“what matters in life is not what happens to you but what you remember and how you remember it.”,"Author: Gabriel Garcia Marquez, Tags: life-memories"
"“It is said that your life flashes before your eyes just before you die. That is true, it's called Life.”","Terry Pratchett,","['death', 'humor', 'life']","“it is said that your life flashes before your eyes just before you die. that is true, it's called life.”","Author: Terry Pratchett,, Tags: death, humor, life"
"“To douchebags!"" he said, gesturing to Brad. ""And to girls that break your heart,"" he bowed his head to me. His eyes lost focus. ""And to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”","Jamie McGuire,","['best-friends', 'heartbreak', 'love']","“to douchebags!"" he said, gesturing to brad. ""and to girls that break your heart,"" he bowed his head to me. his eyes lost focus. ""and to the absolute fucking horror of losing your best friend because you were stupid enough to fall in love with her.”","Author: Jamie McGuire,, Tags: best-friends, heartbreak, love"
"“I am very interested and fascinated how everyone loves each other, but no one really likes each other.”","Stephen Chbosky,",['moi'],"“i am very interested and fascinated how everyone loves each other, but no one really likes each other.”","Author: Stephen Chbosky,, Tags: moi"
"“Everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”","Lemony Snicket,",['funny'],"“everyone should be able to do one card trick, tell two jokes, and recite three poems, in case they are ever trapped in an elevator.”","Author: Lemony Snicket,, Tags: funny"
“Remember: the time you feel lonely is the time you most need to be by yourself. Life's cruelest irony.”,"Douglas Coupland,","['irony', 'life', 'loneliness']",“remember: the time you feel lonely is the time you most need to be by yourself. life's cruelest irony.”,"Author: Douglas Coupland,, Tags: irony, life, loneliness"
“You must stay drunk on writing so reality cannot destroy you.”,"Ray Bradbury,",['writing'],“you must stay drunk on writing so reality cannot destroy you.”,"Author: Ray Bradbury,, Tags: writing"
"“It may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”","Khaled Hosseini,","['fair', 'life']","“it may be unfair, but what happens in a few days, sometimes even a single day, can change the course of a whole lifetime...”","Author: Khaled Hosseini,, Tags: fair, life"
"“The simple things are also the most extraordinary things, and only the wise can see them.”","Paulo Coelho,",['wisdom'],"“the simple things are also the most extraordinary things, and only the wise can see them.”","Author: Paulo Coelho,, Tags: wisdom"
"“Painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”",Leonardo da Vinci,"['art', 'poetry']","“painting is poetry that is seen rather than felt, and poetry is painting that is felt rather than seen.”","Author: Leonardo da Vinci, Tags: art, poetry"
“If you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”,"David Sedaris,",['sympathy'],“if you're looking for sympathy you'll find it between shit and syphilis in the dictionary.”,"Author: David Sedaris,, Tags: sympathy"
"“Life is too short to waste your time on people who donâ€™t respect, appreciate, and value you.”","Roy T. Bennett,","['appreciate', 'inspiration', 'inspirational', 'inspirational-attitude']","“life is too short to waste your time on people who donâ€™t respect, appreciate, and value you.”","Author: Roy T. Bennett,, Tags: appreciate, inspiration, inspirational, inspirational-attitude"
“I have great faith in fools - self-confidence my friends will call it.”,"Edgar Allan Poe,","['faith', 'fool', 'humor', 'self-confidence', 'self-irony']",“i have great faith in fools - self-confidence my friends will call it.”,"Author: Edgar Allan Poe,, Tags: faith, fool, humor, self-confidence, self-irony"
"“People are afraid of themselves, of their own reality; their feelings most of all. People talk about how great love is, but thatâ€™s bullshit. Love hurts. Feelings are disturbing. People are taught that pain is evil and dangerous. How can they deal with love if theyâ€™re afraid to feel? Pain is meant to wake us up. People try to hide their pain. But theyâ€™re wrong. Pain is something to carry, like a radio. You feel your strength in the experience of pain. Itâ€™s all in how you carry it. Thatâ€™s what matters. Pain is a feeling. Your feelings are a part of you. Your own reality. If you feel ashamed of them, and hide them, youâ€™re letting society destroy your reality. You should stand up for your right to feel your pain.”",Jim Morrison,"['jim', 'life', 'morrison', 'pain', 'reality']","“people are afraid of themselves, of their own reality; their feelings most of all. people talk about how great love is, but thatâ€™s bullshit. love hurts. feelings are disturbing. people are taught that pain is evil and dangerous. how can they deal with love if theyâ€™re afraid to feel? pain is meant to wake us up. people try to hide their pain. but theyâ€™re wrong. pain is something to carry, like a radio. you feel your strength in the experience of pain. itâ€™s all in how you carry it. thatâ€™s what matters. pain is a feeling. your feelings are a part of you. your own reality. if you feel ashamed of them, and hide them, youâ€™re letting society destroy your reality. you should stand up for your right to feel your pain.”","Author: Jim Morrison, Tags: jim, life, morrison, pain, reality"
"“I have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”","Daphne Rae,",['misattributed-to-mother-teresa'],"“i have found the paradox, that if you love until it hurts, there can be no more hurt, only more love.”","Author: Daphne Rae,, Tags: misattributed-to-mother-teresa"
"“That does it,"" said Jace. ""I'm going to get you a dictionary for Christmas this year.""""Why?"" Isabelle said.""So you can look up 'fun.' I'm not sure you know what it means.”","Cassandra Clare,","['dictionary', 'fun', 'humor', 'isabelle-lightwood', 'jace-wayland']","“that does it,"" said jace. ""i'm going to get you a dictionary for christmas this year.""""why?"" isabelle said.""so you can look up 'fun.' i'm not sure you know what it means.”","Author: Cassandra Clare,, Tags: dictionary, fun, humor, isabelle-lightwood, jace-wayland"
“You must have chaos within you to give birth to a dancing star.”,Friedrich Nietzsche,"['art', 'chaos']",“you must have chaos within you to give birth to a dancing star.”,"Author: Friedrich Nietzsche, Tags: art, chaos"
“I don't go looking for trouble. Trouble usually finds me.”,"Katie McGarry,",['trouble'],“i don't go looking for trouble. trouble usually finds me.”,"Author: Katie McGarry,, Tags: trouble"
“To be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.”,E.E. Cummings,['poetry'],“to be nobody but yourself in a world which is doing its best day and night to make you like everybody else means to fight the hardest battle which any human being can fight and never stop fighting.”,"Author: E.E. Cummings, Tags: poetry"
"“That is part of the beauty of all literature. You discover that your longings are universal longings, that you're not lonely and isolated from anyone. You belong.”",F. Scott Fitzgerald,"['belonging', 'company', 'desires', 'literature', 'longings']","“that is part of the beauty of all literature. you discover that your longings are universal longings, that you're not lonely and isolated from anyone. you belong.”","Author: F. Scott Fitzgerald, Tags: belonging, company, desires, literature, longings"
“They love their hair because they're not smart enough to love something more interesting.”,"John Green,","['awesomeness', 'funny']",“they love their hair because they're not smart enough to love something more interesting.”,"Author: John Green,, Tags: awesomeness, funny"
“Beneath the makeup and behind the smile I am just a girl who wishes for the world.”,Marilyn Monroe,"['girl', 'makeup', 'world']",“beneath the makeup and behind the smile i am just a girl who wishes for the world.”,"Author: Marilyn Monroe, Tags: girl, makeup, world"
"“Some tourists think Amsterdam is a city of sin, but in truth it is a city of freedom. And in freedom, most people find sin.”","John Green,","['amsterdam', 'freedom', 'sin']","“some tourists think amsterdam is a city of sin, but in truth it is a city of freedom. and in freedom, most people find sin.”","Author: John Green,, Tags: amsterdam, freedom, sin"
"“You have your way. I have my way. As for the right way, the correct way, and the only way, it does not exist.”",Friedrich Wilhelm Nietzsche,"['amorality', 'correct-way', 'individuality', 'my-way', 'only-way', 'right-way', 'the-way', 'your-way']","“you have your way. i have my way. as for the right way, the correct way, and the only way, it does not exist.”","Author: Friedrich Wilhelm Nietzsche, Tags: amorality, correct-way, individuality, my-way, only-way, right-way, the-way, your-way"
"“As usual, there is a great woman behind every idiot.”",John Lennon,"['beatles', 'men', 'women']","“as usual, there is a great woman behind every idiot.”","Author: John Lennon, Tags: beatles, men, women"
"“What happens when people open their hearts?""""They get better.”","Haruki Murakami,","['healing', 'vulnerability']","“what happens when people open their hearts?""""they get better.”","Author: Haruki Murakami,, Tags: healing, vulnerability"
"“Imagine yourself as a living house. God comes in to rebuild that house. At first, perhaps, you can understand what He is doing. He is getting the drains right and stopping the leaks in the roof and so on; you knew that those jobs needed doing and so you are not surprised. But presently He starts knocking the house about in a way that hurts abominably and does not seem to make any sense. What on earth is He up to? The explanation is that He is building quite a different house from the one you thought of - throwing out a new wing here, putting on an extra floor there, running up towers, making courtyards. You thought you were being made into a decent little cottage: but He is building a palace. He intends to come and live in it Himself.”","C.S. Lewis,",['god-religion-house'],"“imagine yourself as a living house. god comes in to rebuild that house. at first, perhaps, you can understand what he is doing. he is getting the drains right and stopping the leaks in the roof and so on; you knew that those jobs needed doing and so you are not surprised. but presently he starts knocking the house about in a way that hurts abominably and does not seem to make any sense. what on earth is he up to? the explanation is that he is building quite a different house from the one you thought of - throwing out a new wing here, putting on an extra floor there, running up towers, making courtyards. you thought you were being made into a decent little cottage: but he is building a palace. he intends to come and live in it himself.”","Author: C.S. Lewis,, Tags: god-religion-house"
"“I have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. When this occurs, I pack up my dinosaurs and leave the room.”","Ray Bradbury,","['humour', 'individuality', 'science-fiction']","“i have never listened to anyone who criticized my taste in space travel, sideshows or gorillas. when this occurs, i pack up my dinosaurs and leave the room.”","Author: Ray Bradbury,, Tags: humour, individuality, science-fiction"
“Prayer is not asking. It is a longing of the soul. It is daily admission of one's weakness. It is better in prayer to have a heart without words than words without a heart.”,Mahatma Gandhi,"['god', 'heart', 'humanity', 'inspirational', 'prayer', 'religion', 'souls', 'weakness']",“prayer is not asking. it is a longing of the soul. it is daily admission of one's weakness. it is better in prayer to have a heart without words than words without a heart.”,"Author: Mahatma Gandhi, Tags: god, heart, humanity, inspirational, prayer, religion, souls, weakness"
"“Books are my friends, my companions. They make me laugh and cry and find meaning in life.”","Christopher Paolini,","['books', 'christopher-paolini', 'eragon', 'good-reads']","“books are my friends, my companions. they make me laugh and cry and find meaning in life.”","Author: Christopher Paolini,, Tags: books, christopher-paolini, eragon, good-reads"
"“Man may have discovered fire, but women discovered how to play with it.”","Candace Bushnell,","['love', 'relationships']","“man may have discovered fire, but women discovered how to play with it.”","Author: Candace Bushnell,, Tags: love, relationships"
"“I cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. It is too long ago. I was in the middle before I knew that I had begun.”","Jane Austen,","['love', 'romance']","“i cannot fix on the hour, or the spot, or the look or the words, which laid the foundation. it is too long ago. i was in the middle before i knew that i had begun.”","Author: Jane Austen,, Tags: love, romance"
“Education is the most powerful weapon which you can use to change the world.”,Nelson Mandela,"['change', 'education']",“education is the most powerful weapon which you can use to change the world.”,"Author: Nelson Mandela, Tags: change, education"
“Being crazy isn't enough.”,Dr. Seuss,['crazy'],“being crazy isn't enough.”,"Author: Dr. Seuss, Tags: crazy"
"“One day, in retrospect, the years of struggle will strike you as the most beautiful.”",Sigmund Freud,['inspirational-quotes'],"“one day, in retrospect, the years of struggle will strike you as the most beautiful.”","Author: Sigmund Freud, Tags: inspirational-quotes"
"“If you have a garden and a library, you have everything you need.”",Cicero,['books'],"“if you have a garden and a library, you have everything you need.”","Author: Cicero, Tags: books"
"“Life is pain, highness. Anyone who says differently is selling something.”","William Goldman,","['life', 'pain']","“life is pain, highness. anyone who says differently is selling something.”","Author: William Goldman,, Tags: life, pain"
"“If you are going through hell, keep going.”",Winston S. Churchill,"['hell', 'perseverance']","“if you are going through hell, keep going.”","Author: Winston S. Churchill, Tags: hell, perseverance"
"“Should I kill myself, or have a cup of coffee?”",Albert Camus,[],"“should i kill myself, or have a cup of coffee?”","Author: Albert Camus, Tags: "
"“Love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.”","Ursula K. Le Guin,",['love'],"“love doesn't just sit there, like a stone, it has to be made, like bread; remade all the time, made new.”","Author: Ursula K. Le Guin,, Tags: love"
"“I would have come for you. And if I couldn't walk, I'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. Because that's what we do. We never stop fighting.”","Leigh Bardugo,","['crooked-kingdom', 'inej-ghafa', 'kaz-brekker', 'six-of-crows']","“i would have come for you. and if i couldn't walk, i'd crawl to you, and no matter how broken we were, we'd fight our way out together-knives drawn, pistols blazing. because that's what we do. we never stop fighting.”","Author: Leigh Bardugo,, Tags: crooked-kingdom, inej-ghafa, kaz-brekker, six-of-crows"
“I lie to myself all the time. But I never believe me.”,"S.E. Hinton,","['lies', 'lying', 'self-deception', 'truth']",“i lie to myself all the time. but i never believe me.”,"Author: S.E. Hinton,, Tags: lies, lying, self-deception, truth"
"“But who prays for Satan? Who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?”",Mark Twain,['humor-satan'],"“but who prays for satan? who, in eighteen centuries, has had the common humanity to pray for the one sinner that needed it most?”","Author: Mark Twain, Tags: humor-satan"
“Time flies like an arrow; fruit flies like a banana.”,Anthony G. Oettinger,"['humor', 'misattributed-to-groucho-marx', 'time']",“time flies like an arrow; fruit flies like a banana.”,"Author: Anthony G. Oettinger, Tags: humor, misattributed-to-groucho-marx, time"
“Percy wouldn't notice a joke if it danced naked in front of him wearing one of Dobby's hats.”,"J.K. Rowling,",['humor'],“percy wouldn't notice a joke if it danced naked in front of him wearing one of dobby's hats.”,"Author: J.K. Rowling,, Tags: humor"
"“Never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. If people all over the world...would do this, it would change the earth.”",William Faulkner,"['advocacy', 'dissent', 'protest', 'truth', 'truth-telling']","“never be afraid to raise your voice for honesty and truth and compassion against injustice and lying and greed. if people all over the world...would do this, it would change the earth.”","Author: William Faulkner, Tags: advocacy, dissent, protest, truth, truth-telling"
"“Books are like mirrors: if a fool looks in, you cannot expect a genius to look out.”",J.K. Rowling,['books'],"“books are like mirrors: if a fool looks in, you cannot expect a genius to look out.”","Author: J.K. Rowling, Tags: books"
"“But I donâ€™t want to go among mad people,"" Alice remarked.""Oh, you canâ€™t help that,"" said the Cat: ""weâ€™re all mad here. Iâ€™m mad. Youâ€™re mad.""""How do you know Iâ€™m mad?"" said Alice.""You must be,"" said the Cat, ""or you wouldnâ€™t have come here.”","Lewis Carroll,",['alice-s-adventures-in-wonderland'],"“but i donâ€™t want to go among mad people,"" alice remarked.""oh, you canâ€™t help that,"" said the cat: ""weâ€™re all mad here. iâ€™m mad. youâ€™re mad.""""how do you know iâ€™m mad?"" said alice.""you must be,"" said the cat, ""or you wouldnâ€™t have come here.”","Author: Lewis Carroll,, Tags: alice-s-adventures-in-wonderland"
“Nothing of me is original. I am the combined effort of everyone I've ever known.”,"Chuck Palahniuk,","['identity', 'originality']",“nothing of me is original. i am the combined effort of everyone i've ever known.”,"Author: Chuck Palahniuk,, Tags: identity, originality"
“The difference between the almost right word and the right word is really a large matter. â€™tis the difference between the lightning bug and the lightning.”,"Mark Twain,",['writing'],“the difference between the almost right word and the right word is really a large matter. â€™tis the difference between the lightning bug and the lightning.”,"Author: Mark Twain,, Tags: writing"
"“I like your Christ, I do not like your Christians. Your Christians are so unlike your Christ.”",Mahatma Gandhi,"['anti-christian', 'christianity', 'christians', 'jesus-christ']","“i like your christ, i do not like your christians. your christians are so unlike your christ.”","Author: Mahatma Gandhi, Tags: anti-christian, christianity, christians, jesus-christ"
"“I think God, in creating man, somewhat overestimated his ability.”",Oscar Wilde,"['creation', 'god', 'humor', 'man']","“i think god, in creating man, somewhat overestimated his ability.”","Author: Oscar Wilde, Tags: creation, god, humor, man"
